Case ID,Activity,Start Timestamp,Complete Timestamp,Resource
case_1,Start,2012-01-11 17:00:00+00:00,2012-01-11 17:00:00+00:00,Start
case_1,Turning & Milling Q.C.,2012-01-11 23:24:41.428571+00:00,2012-01-12 13:22:26.428571+00:00,ID4618
case_1,Turning & Milling Q.C.,2012-01-12 15:47:07.857142+00:00,2012-01-12 16:44:52.857142+00:00,ID4618
case_1,Packing,2012-01-13 07:13:09.999999+00:00,2012-01-13 08:13:09.999999+00:00,ID4820
case_1,Flat Grinding,2012-01-15 14:37:05.199999+00:00,2012-01-15 21:49:20.989473+00:00,ID4882
case_1,End,2012-01-15 21:49:20.989473+00:00,2012-01-15 21:49:20.989473+00:00,End
case_1,Lapping,2012-01-16 07:26:16.189473+00:00,2012-01-16 08:33:39.046616+00:00,ID4882
case_1,Laser Marking,2012-01-16 17:07:31.268838+00:00,2012-01-16 17:53:23.268838+00:00,ID0998
case_1,Final Inspection Q.C.,2012-01-17 14:53:52.411695+00:00,2012-01-17 17:21:19.253800+00:00,ID4287
case_2,Start,2012-01-12 07:07:14+00:00,2012-01-12 07:07:14+00:00,Start
case_2,End,2012-01-12 07:07:14+00:00,2012-01-12 07:07:14+00:00,End
case_2,Packing,2012-01-12 07:19:31.142857+00:00,2012-01-12 08:19:31.142857+00:00,ID4820
case_2,Turning & Milling,2012-01-12 15:09:48.285714+00:00,2012-01-12 17:25:27.730158+00:00,ID0997
case_2,Turning & Milling,2012-01-13 03:07:00.457431+00:00,2012-01-13 07:22:39.901875+00:00,ID4794
case_2,Turning & Milling Q.C.,2012-01-15 15:49:53.072607+00:00,2012-01-15 16:48:30.255706+00:00,ID4287
case_2,Turning & Milling,2012-01-15 16:48:30.255706+00:00,2012-01-15 23:16:09.700150+00:00,ID4429
case_2,Turning & Milling,2012-01-16 16:09:26.843007+00:00,2012-01-16 17:25:06.287451+00:00,ID0997
case_2,Turning & Milling,2012-01-16 18:34:23.430308+00:00,2012-01-16 19:50:02.874752+00:00,ID0997
case_2,Turning & Milling,2012-01-16 23:36:42.874752+00:00,2012-01-17 03:52:22.319196+00:00,ID4641
case_2,Turning & Milling,2012-01-18 01:03:22.319196+00:00,2012-01-18 06:19:01.763640+00:00,ID4718
case_2,Turning & Milling Q.C.,2012-01-18 13:44:09.945458+00:00,2012-01-18 14:42:47.128557+00:00,ID4618
case_2,Turning & Milling Q.C.,2012-01-18 17:26:55.310375+00:00,2012-01-18 18:25:32.493474+00:00,ID4618
case_2,Turning & Milling Q.C.,2012-01-18 19:54:58.743474+00:00,2012-01-22 14:53:35.926573+00:00,ID4493
case_2,Final Inspection Q.C.,2012-01-22 16:42:49.097305+00:00,2012-01-22 19:09:49.097305+00:00,ID4287
case_3,Start,2012-01-12 18:15:18.918033+00:00,2012-01-12 18:15:18.918033+00:00,Start
case_3,Turning & Milling Q.C.,2012-01-13 13:41:54.918033+00:00,2012-01-13 15:40:41.945060+00:00,ID4618
case_3,Turning & Milling Q.C.,2012-01-15 15:49:41.945060+00:00,2012-01-15 16:48:28.972087+00:00,ID4287
case_3,Final Inspection Q.C.,2012-01-16 08:10:46.619146+00:00,2012-01-16 20:36:03.363332+00:00,ID4163
case_3,Packing,2012-01-17 07:18:18.363332+00:00,2012-01-17 08:18:18.363332+00:00,ID4820
case_3,End,2012-01-17 08:18:18.363332+00:00,2012-01-17 08:18:18.363332+00:00,End
case_3,Final Inspection Q.C.,2012-01-17 14:10:25.422156+00:00,2012-01-17 15:35:42.166342+00:00,ID4493
case_3,Round Grinding,2012-01-17 22:34:07.666342+00:00,2012-01-17 23:43:28.466342+00:00,ID4528
case_4,Start,2012-01-13 14:23:43.111581+00:00,2012-01-13 14:23:43.111581+00:00,Start
case_4,Final Inspection Q.C.,2012-01-15 14:47:21.006318+00:00,2012-01-15 18:11:19.642682+00:00,ID4493
case_4,Packing,2012-01-15 18:11:19.642682+00:00,2012-01-16 08:00:19.642682+00:00,ID4491
case_4,End,2012-01-16 08:00:19.642682+00:00,2012-01-16 08:00:19.642682+00:00,End
case_4,Laser Marking,2012-01-16 17:32:47.100309+00:00,2012-01-16 18:24:34.468730+00:00,ID0998
case_4,Flat Grinding,2012-01-16 21:57:01.926357+00:00,2012-01-16 23:08:37.926357+00:00,ID0998
case_4,Final Inspection Q.C.,2012-01-17 15:49:37.926357+00:00,2012-01-17 18:13:36.562721+00:00,ID4287
case_4,Flat Grinding,2012-01-17 21:46:04.020348+00:00,2012-01-17 22:57:40.020348+00:00,ID0998
case_4,Flat Grinding,2012-01-18 15:30:07.477975+00:00,2012-01-18 16:41:43.477975+00:00,ID0998
case_5,Start,2012-01-15 16:31:06.549081+00:00,2012-01-15 16:31:06.549081+00:00,Start
case_5,Final Inspection Q.C.,2012-01-15 19:25:49.804895+00:00,2012-01-15 21:52:12.783618+00:00,ID4287
case_5,Packing,2012-01-17 07:18:27.783618+00:00,2012-01-17 08:18:27.783618+00:00,ID4820
case_5,Laser Marking,2012-01-17 17:32:55.241245+00:00,2012-01-17 18:24:42.609666+00:00,ID0998
case_5,End,2012-01-17 18:24:42.609666+00:00,2012-01-17 18:24:42.609666+00:00,End
case_6,Start,2012-01-15 17:39:38.856773+00:00,2012-01-15 17:39:38.856773+00:00,Start
case_6,Packing,2012-01-17 07:23:45.915597+00:00,2012-01-17 08:23:45.915597+00:00,ID4820
case_6,End,2012-01-17 08:23:45.915597+00:00,2012-01-17 08:23:45.915597+00:00,End
case_7,Start,2012-01-15 21:50:38.856773+00:00,2012-01-15 21:50:38.856773+00:00,Start
case_7,Milling,2012-01-16 00:51:32.190106+00:00,2012-01-16 14:45:02.190106+00:00,ID4326
case_7,Round Grinding,2012-01-16 20:29:41.190106+00:00,2012-01-17 07:38:26.009383+00:00,ID4493
case_7,Round Grinding,2012-01-17 15:50:02.531122+00:00,2012-01-17 16:58:47.350399+00:00,ID4528
case_7,Round Grinding,2012-01-18 03:09:05.811937+00:00,2012-01-18 07:17:50.631214+00:00,ID4445
