Case ID,Activity,Start Timestamp,Complete Timestamp,Resource
case_1,Start,2012-01-11 17:00:00+00:00,2012-01-11 17:00:00+00:00,Start
case_1,End,2012-01-11 17:00:00+00:00,2012-01-11 17:00:00+00:00,End
case_1,Packing,2012-01-12 07:12:17.142857+00:00,2012-01-12 08:12:17.142857+00:00,ID4820
case_2,Start,2012-01-12 07:07:14+00:00,2012-01-12 07:07:14+00:00,Start
case_2,Packing,2012-01-12 07:19:31.142857+00:00,2012-01-12 08:19:31.142857+00:00,ID4820
case_2,Turning & Milling Q.C.,2012-01-15 14:54:57.392857+00:00,2012-01-15 17:53:34.575956+00:00,ID4493
case_2,End,2012-01-15 17:53:34.575956+00:00,2012-01-15 17:53:34.575956+00:00,End
case_2,Lapping,2012-01-15 21:33:02.033583+00:00,2012-01-15 23:40:24.890726+00:00,ID0998
case_2,Lapping,2012-01-16 07:46:50.605012+00:00,2012-01-16 08:54:13.462155+00:00,ID4882
case_2,Laser Marking,2012-01-16 17:32:40.919782+00:00,2012-01-16 18:24:28.288203+00:00,ID0998
case_2,Final Inspection Q.C.,2012-01-16 21:10:45.935262+00:00,2012-01-16 23:37:45.935262+00:00,ID4163
case_3,Start,2012-01-12 18:15:18.918033+00:00,2012-01-12 18:15:18.918033+00:00,Start
case_3,Milling,2012-01-12 23:51:12.251366+00:00,2012-01-13 14:44:42.251366+00:00,ID4326
case_3,Turning & Milling Q.C.,2012-01-13 17:42:18.251366+00:00,2012-01-13 18:41:05.278393+00:00,ID4618
case_3,Lapping,2012-01-15 14:46:30.992679+00:00,2012-01-15 21:53:53.849822+00:00,ID4882
case_3,Turning & Milling Q.C.,2012-01-16 14:42:53.849822+00:00,2012-01-16 15:41:40.876849+00:00,ID4287
case_3,Round Grinding,2012-01-16 22:53:10.876849+00:00,2012-01-17 20:02:31.676849+00:00,ID4385
case_3,Round Grinding,2012-01-17 23:58:57.176849+00:00,2012-01-18 13:08:17.976849+00:00,ID4528
case_3,Round Grinding,2012-01-18 15:49:17.976849+00:00,2012-01-18 16:58:38.776849+00:00,ID4287
case_3,Round Grinding,2012-01-18 19:59:04.276849+00:00,2012-01-18 22:08:25.076849+00:00,ID4528
case_3,Round Grinding,2012-01-19 13:00:55.076849+00:00,2012-01-19 22:10:15.876849+00:00,ID4385
case_3,Final Inspection Q.C.,2012-01-23 08:10:33.523908+00:00,2012-01-23 20:35:50.268094+00:00,ID4163
case_3,Packing,2012-01-23 20:35:50.268094+00:00,2012-01-27 08:00:50.268094+00:00,ID4491
case_3,Round Grinding,2012-01-29 15:59:15.768094+00:00,2012-01-29 17:08:36.568094+00:00,ID4528
case_3,Round Grinding,2012-01-30 13:07:02.068094+00:00,2012-01-30 16:16:22.868094+00:00,ID4528
case_3,Round Grinding,2012-01-30 19:14:48.368094+00:00,2012-01-30 23:24:09.168094+00:00,ID4528
case_3,End,2012-01-30 23:24:09.168094+00:00,2012-01-30 23:24:09.168094+00:00,End
case_3,Final Inspection Q.C.,2012-01-31 14:34:26.815153+00:00,2012-01-31 15:59:43.559339+00:00,ID4163
case_4,Start,2012-01-13 14:23:43.111581+00:00,2012-01-13 14:23:43.111581+00:00,Start
case_4,Milling,2012-01-13 20:14:36.444914+00:00,2012-01-15 13:08:06.444914+00:00,ID4326
case_4,Milling,2012-01-15 13:58:59.778247+00:00,2012-01-16 00:52:29.778247+00:00,ID4326
case_4,Final Inspection Q.C.,2012-01-16 16:34:05.778247+00:00,2012-01-16 17:58:04.414611+00:00,ID4618
case_4,Milling,2012-01-16 23:50:57.747944+00:00,2012-01-17 14:44:27.747944+00:00,ID4326
case_4,Milling,2012-01-17 23:35:21.081277+00:00,2012-01-18 21:28:51.081277+00:00,ID4326
case_4,Milling,2012-01-19 01:19:44.414610+00:00,2012-01-19 14:13:14.414610+00:00,ID4326
case_4,Laser Marking,2012-01-19 18:32:41.872237+00:00,2012-01-19 19:24:29.240658+00:00,ID0998
case_4,Final Inspection Q.C.,2012-01-22 14:49:29.240658+00:00,2012-01-22 16:13:27.877022+00:00,ID4287
case_4,Final Inspection Q.C.,2012-01-23 08:10:45.524081+00:00,2012-01-23 20:34:44.160445+00:00,ID4163
case_4,Final Inspection Q.C.,2012-01-24 15:49:44.160445+00:00,2012-01-24 18:13:42.796809+00:00,ID4287
case_4,Final Inspection Q.C.,2012-01-24 21:47:20.691546+00:00,2012-01-24 23:11:19.327910+00:00,ID4493
case_4,Final Inspection Q.C.,2012-01-25 01:21:36.974969+00:00,2012-01-25 17:45:35.611333+00:00,ID4163
case_4,Final Inspection Q.C.,2012-01-25 19:55:53.258392+00:00,2012-01-26 19:19:51.894756+00:00,ID4163
case_4,Packing,2012-01-27 07:19:06.894756+00:00,2012-01-27 08:19:06.894756+00:00,ID4820
case_4,End,2012-01-27 08:19:06.894756+00:00,2012-01-27 08:19:06.894756+00:00,End
case_5,Start,2012-01-15 16:31:06.549081+00:00,2012-01-15 16:31:06.549081+00:00,Start
case_5,Packing,2012-01-17 07:18:21.549081+00:00,2012-01-17 08:18:21.549081+00:00,ID4820
case_5,End,2012-01-17 08:18:21.549081+00:00,2012-01-17 08:18:21.549081+00:00,End
case_6,Start,2012-01-15 17:39:38.856773+00:00,2012-01-15 17:39:38.856773+00:00,Start
case_6,Milling,2012-01-15 17:39:38.856773+00:00,2012-01-16 07:54:08.856773+00:00,ID0937
case_6,Turning & Milling Q.C.,2012-01-16 14:44:47.856773+00:00,2012-01-16 20:48:28.626004+00:00,ID4493
case_6,Lapping,2012-01-16 23:30:23.626004+00:00,2012-01-17 00:37:54.989640+00:00,ID0998
case_6,Final Inspection Q.C.,2012-01-17 15:54:33.287512+00:00,2012-01-17 18:17:22.378421+00:00,ID4287
case_6,Packing,2012-01-18 07:23:29.437245+00:00,2012-01-18 08:23:29.437245+00:00,ID4820
case_6,End,2012-01-18 08:23:29.437245+00:00,2012-01-18 08:23:29.437245+00:00,End
case_6,Final Inspection Q.C.,2012-01-18 15:54:07.735117+00:00,2012-01-18 17:16:56.826026+00:00,ID4287
case_6,Lapping,2012-01-18 18:59:42.343267+00:00,2012-01-18 21:07:13.706903+00:00,ID4882
case_7,Start,2012-01-15 21:50:38.856773+00:00,2012-01-15 21:50:38.856773+00:00,Start
case_7,Packing,2012-01-17 07:27:14.412329+00:00,2012-01-17 08:27:14.412329+00:00,ID4820
case_7,End,2012-01-17 08:27:14.412329+00:00,2012-01-17 08:27:14.412329+00:00,End
case_7,Final Inspection Q.C.,2012-01-17 14:11:53.412329+00:00,2012-01-17 15:30:15.051673+00:00,ID4493
case_7,Round Grinding,2012-01-17 22:19:51.573412+00:00,2012-01-17 23:28:36.392689+00:00,ID4528
case_7,Round Grinding,2012-01-18 03:08:54.854227+00:00,2012-01-18 07:17:39.673504+00:00,ID4445
case_8,Start,2012-01-16 07:00:53.856773+00:00,2012-01-16 07:00:53.856773+00:00,Start
case_8,Turning & Milling Q.C.,2012-01-16 22:36:59.074164+00:00,2012-01-17 07:46:40.453474+00:00,ID4618
case_8,Flat Grinding,2012-01-17 18:20:33.394650+00:00,2012-01-17 19:32:09.394650+00:00,ID4872
case_8,Flat Grinding,2012-01-17 22:27:36.935634+00:00,2012-01-18 00:39:12.935634+00:00,ID0998
case_8,Flat Grinding,2012-01-18 16:06:40.476618+00:00,2012-01-18 17:18:16.476618+00:00,ID0998
case_8,Final Inspection Q.C.,2012-01-18 19:28:25.950302+00:00,2012-01-19 14:43:34.257994+00:00,ID4163
case_8,Final Inspection Q.C.,2012-01-19 19:53:43.731678+00:00,2012-01-20 17:08:52.039370+00:00,ID4163
case_8,Laser Marking,2012-01-22 20:28:19.580354+00:00,2012-01-22 21:20:19.580354+00:00,ID0998
case_8,Packing,2012-01-24 07:26:55.135910+00:00,2012-01-24 08:26:55.135910+00:00,ID4820
case_8,End,2012-01-24 08:26:55.135910+00:00,2012-01-24 08:26:55.135910+00:00,End
case_9,Start,2012-01-16 08:14:18.204599+00:00,2012-01-16 08:14:18.204599+00:00,Start
case_9,Round Grinding,2012-01-16 12:46:23.004599+00:00,2012-01-16 13:54:45.830686+00:00,ID4528
case_9,Flat Grinding,2012-01-16 17:28:13.371670+00:00,2012-01-16 18:39:49.371670+00:00,ID0998
case_9,Packing,2012-01-17 07:27:24.927226+00:00,2012-01-17 08:27:24.927226+00:00,ID4820
case_9,End,2012-01-17 08:27:24.927226+00:00,2012-01-17 08:27:24.927226+00:00,End
