Case ID,Activity,Start Timestamp,Complete Timestamp,Resource
case_1,Traer informacion estudiante - banner,2016-02-16 18:26:08+00:00,2016-02-16 18:26:08+00:00,18289
case_1,Radicar Solicitud Homologacion,2016-02-18 01:00:10.333333+00:00,2016-02-18 01:04:50.704194+00:00,6186
case_1,Homologacion por grupo de cursos,2016-02-19 16:38:30.037527+00:00,2016-02-19 17:38:35.728436+00:00,1343
case_2,Traer informacion estudiante - banner,2016-02-16 19:40:28.629139+00:00,2016-02-16 19:40:28.629139+00:00,11204
case_2,Radicar Solicitud Homologacion,2016-02-18 23:00:29.629139+00:00,2016-02-18 23:05:08.208086+00:00,3421
case_2,Validar solicitud,2016-02-20 01:11:44.183086+00:00,2016-02-20 01:30:19.259035+00:00,19019
case_2,Homologacion por grupo de cursos,2016-02-22 13:37:58.592368+00:00,2016-02-24 01:10:19.829656+00:00,1343
case_3,Traer informacion estudiante - banner,2016-02-16 20:55:08.240981+00:00,2016-02-16 20:55:08.240981+00:00,8528
case_3,Radicar Solicitud Homologacion,2016-02-18 21:00:11.240981+00:00,2016-02-18 21:04:48.591299+00:00,8450
case_3,Cancelar Solicitud,2016-02-18 21:11:53.257966+00:00,2016-02-18 21:52:53.840056+00:00,18929
case_3,Notificacion estudiante cancelacion soli,2016-02-20 01:07:29.815056+00:00,2016-02-20 01:07:29.815056+00:00,19019
case_4,Traer informacion estudiante - banner,2016-02-16 22:08:08.311045+00:00,2016-02-16 22:08:08.311045+00:00,5396
case_4,Radicar Solicitud Homologacion,2016-02-19 02:16:21.644378+00:00,2016-02-19 02:20:55.506013+00:00,26348
case_4,Validar solicitud,2016-02-20 16:07:31.481013+00:00,2016-02-20 16:25:48.950149+00:00,19019
case_4,Homologacion por grupo de cursos,2016-02-25 00:26:46.700149+00:00,2016-02-25 18:59:07.937437+00:00,15930
case_5,Traer informacion estudiante - banner,2016-02-16 23:20:25.688403+00:00,2016-02-16 23:20:25.688403+00:00,6186
case_5,Radicar Solicitud Homologacion,2016-02-17 17:00:45.534557+00:00,2016-02-17 17:05:17.890807+00:00,11204
case_5,Validar solicitud,2016-02-17 17:12:22.557474+00:00,2016-02-17 17:30:29.057474+00:00,18929
case_5,Homologacion por grupo de cursos,2016-02-17 18:35:51.469239+00:00,2016-02-18 16:08:12.706527+00:00,1007
case_6,Traer informacion estudiante - banner,2016-02-17 00:41:40.563403+00:00,2016-02-17 00:41:40.563403+00:00,13733
case_6,Radicar Solicitud Homologacion,2016-02-17 16:00:42.688403+00:00,2016-02-17 16:05:24.912005+00:00,8997
case_6,Cancelar Solicitud,2016-02-18 15:37:08.701479+00:00,2016-02-18 16:18:09.283569+00:00,1707
case_6,Notificacion estudiante cancelacion soli,2016-02-20 00:06:45.258569+00:00,2016-02-20 00:06:45.258569+00:00,19019
case_7,Traer informacion estudiante - banner,2016-02-17 10:34:23.118959+00:00,2016-02-17 10:34:23.118959+00:00,5292
case_7,Radicar Solicitud Homologacion,2016-02-19 00:00:24.118959+00:00,2016-02-19 00:05:03.088284+00:00,9872
case_7,Validar solicitud,2016-02-25 15:25:00.088284+00:00,2016-02-25 15:43:13.738886+00:00,659
case_7,Homologacion por grupo de cursos,2016-02-25 17:05:36.150651+00:00,2016-02-26 23:45:38.450651+00:00,1007
case_8,Traer informacion estudiante - banner,2016-02-17 15:19:37.518959+00:00,2016-02-17 15:19:37.518959+00:00,8819
case_8,Radicar Solicitud Homologacion,2016-02-17 17:00:57.365113+00:00,2016-02-17 17:05:56.557884+00:00,11204
case_8,Validar solicitud,2016-02-17 23:03:54.307884+00:00,2016-02-17 23:22:07.958486+00:00,22475
case_8,Homologacion por grupo de cursos,2016-02-17 23:59:47.291819+00:00,2016-02-19 17:39:49.591819+00:00,1343
case_9,Traer informacion estudiante - banner,2016-02-17 17:00:19.337141+00:00,2016-02-17 17:00:19.337141+00:00,6186
case_9,Radicar Solicitud Homologacion,2016-02-19 15:00:20.337141+00:00,2016-02-19 15:05:18.037740+00:00,4708
case_9,Validar solicitud,2016-02-20 16:05:25.037740+00:00,2016-02-20 16:24:00.728216+00:00,387
case_9,Homologacion por grupo de cursos,2016-02-21 19:55:44.728216+00:00,2016-02-21 21:36:08.025091+00:00,7311
case_10,Traer informacion estudiante - banner,2016-02-17 19:42:13.337141+00:00,2016-02-17 19:42:13.337141+00:00,11204
case_10,Radicar Solicitud Homologacion,2016-02-20 18:00:33.183295+00:00,2016-02-20 18:05:29.111866+00:00,11204
case_10,Cancelar Solicitud,2016-02-20 23:07:33.778533+00:00,2016-02-20 23:48:19.028533+00:00,18929
case_10,Notificacion estudiante cancelacion soli,2016-02-24 15:03:15.778533+00:00,2016-02-24 15:03:15.778533+00:00,11041
case_11,Traer informacion estudiante - banner,2016-02-17 22:17:34.087141+00:00,2016-02-17 22:17:34.087141+00:00,26147
case_11,Radicar Solicitud Homologacion,2016-02-17 22:17:38.753808+00:00,2016-02-17 22:22:32.931323+00:00,5667
case_11,Cancelar Solicitud,2016-02-18 15:07:37.597990+00:00,2016-02-18 15:48:22.847990+00:00,18929
case_11,Notificacion estudiante cancelacion soli,2016-02-20 00:06:58.822990+00:00,2016-02-20 00:06:58.822990+00:00,19019
case_12,Traer informacion estudiante - banner,2016-02-17 23:44:00.087141+00:00,2016-02-17 23:44:00.087141+00:00,5667
