Case ID,Activity,Start Timestamp,Complete Timestamp,Resource
case_1,W_Completeren aanvraag,2011-10-18 10:15:40.415000+00:00,2011-10-18 11:07:53.511755+00:00,10889.0
case_1,W_Nabellen offertes,2011-10-19 11:04:44.846893+00:00,2011-10-19 11:08:10.692112+00:00,11180.0
case_1,W_Nabellen offertes,2011-10-24 10:31:44.748029+00:00,2011-10-24 10:35:10.593248+00:00,11001.0
case_1,W_Valideren aanvraag,2011-10-25 10:16:14.052651+00:00,2011-10-25 10:31:21.731125+00:00,10629.0
case_1,W_Nabellen incomplete dossiers,2011-10-28 20:48:41.864502+00:00,2011-10-28 20:53:55.112264+00:00,10913.0
case_1,W_Nabellen incomplete dossiers,2011-10-29 16:51:32.505735+00:00,2011-10-29 16:56:45.753497+00:00,11000.0
case_1,W_Nabellen incomplete dossiers,2011-10-31 15:45:05.886874+00:00,2011-10-31 15:50:19.134636+00:00,10913.0
case_1,W_Nabellen incomplete dossiers,2011-10-31 16:21:46.469288+00:00,2011-10-31 16:26:59.717050+00:00,10889.0
case_1,W_Nabellen incomplete dossiers,2011-11-01 09:47:12.568595+00:00,2011-11-01 09:52:25.816357+00:00,10809.0
case_1,W_Nabellen incomplete dossiers,2011-11-02 11:21:50.098965+00:00,2011-11-02 11:27:03.346727+00:00,NOT SET
case_1,W_Nabellen incomplete dossiers,2011-11-02 12:54:48.193194+00:00,2011-11-02 13:00:01.440956+00:00,11009.0
case_2,W_Completeren aanvraag,2011-10-18 10:36:08.247853+00:00,2011-10-20 21:07:21.763514+00:00,10913.0
case_2,W_Completeren aanvraag,2011-10-22 12:02:10.692634+00:00,2011-10-22 12:09:24.208295+00:00,10939.0
case_2,W_Completeren aanvraag,2011-10-22 13:23:07.868083+00:00,2011-10-22 13:30:21.383744+00:00,11181.0
case_2,W_Completeren aanvraag,2011-10-24 15:51:45.666352+00:00,2011-10-24 15:58:59.182013+00:00,NOT SET
case_2,W_Nabellen offertes,2011-10-24 16:48:13.100870+00:00,2011-10-24 16:51:38.946089+00:00,10863.0
case_2,W_Nabellen offertes,2011-10-24 18:55:30.281227+00:00,2011-10-24 18:58:56.126446+00:00,11180.0
case_2,W_Valideren aanvraag,2011-10-26 13:16:59.585849+00:00,2011-10-26 13:32:07.264323+00:00,10629.0
